"","Id","MSSubClass","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold"
"X1stFlrSF",-0.0179110911943116,-0.245603134494178,NA,0.456417360608049,0.481842157224339,-0.170451154706428,0.338733120332158,0.243792903751226,NA,NA,NA,NA,NA,1,-0.298222274851258,-0.0115185842290523,0.56063050095401,NA,NA,0.365944533302942,-0.0889291577461768,0.0901881934959303,0.0842553820556841,0.374372661034103,0.404610811159893,NA,NA,NA,0.219572929016122,0.263812553651889,-0.0660711061321944,0.0286795182217402,0.107901798049262,0.112558411463772,0.181386872893262,0.0480642412016053,-0.0135655096379729
"X2ndFlrSF",-0.00993927102172208,0.311430246192983,NA,-0.007861521782953,0.195868733003359,-0.0193161958544292,0.0251950593114785,0.177176753886866,NA,NA,NA,NA,NA,-0.298222274851258,1,-0.0356877420158273,0.61844619433019,NA,NA,0.384514992641673,0.613430110316451,0.504457746048647,0.0792755445838641,0.548464401209977,0.143637153706712,NA,NA,NA,0.0875549014419724,0.163779854260998,0.0488457206066129,-0.0478277915986668,-0.0182391813090754,-0.00616289947601481,-0.0223701193736096,-0.00941528339523518,-0.0100975910831324
"LowQualFinSF",-0.0200065609223192,0.00502149665588739,NA,-0.0124568856822139,-0.0681353586258407,-0.00958022259562146,-0.101153828974967,-0.0599734209099534,NA,NA,NA,NA,NA,-0.0115185842290523,-0.0356877420158273,1,0.0503460088145082,NA,NA,-0.00498588749408971,-0.0536351183812334,0.0319934933366389,-0.00834378496555747,0.0653864645370431,0.00815633237332483,NA,NA,NA,-0.00526183522275708,-0.0201971236247044,0.115253652645702,-0.00714904564778315,-0.0139324110911153,-0.00460580209918661,-0.00742404715919649,0.0464725553402593,0.026864316474313
"GrLivArea",-0.0251115087235604,0.0688292205115905,NA,0.366323997407211,0.558598649394484,-0.157371689634142,0.290411762700723,0.34794630835347,NA,NA,NA,NA,NA,0.56063050095401,0.61844619433019,0.0503460088145082,1,NA,NA,0.632700572223019,0.453582246125416,0.513831259916068,0.137003449751256,0.788012109862664,0.456944343930957,NA,NA,NA,0.25541563585524,0.356365645651026,-0.00141299193559627,-0.018560854255397,0.0714168330410696,0.0865420366607972,0.128686852181025,0.035472360963655,-0.017433837595255
"BsmtFullBath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BsmtHalfBath",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FullBath",-0.0635428119749505,0.146489074914456,NA,0.147871221736341,0.507580330395408,-0.236617149003247,0.474027883074813,0.477064145036931,NA,NA,NA,NA,NA,0.365944533302942,0.384514992641673,-0.00498588749408971,0.632700572223019,NA,NA,1,0.180297297652543,0.349285149260845,0.210972386591608,0.500353862660755,0.228680864594601,NA,NA,NA,0.175053113416017,0.260828961131591,-0.12292998072209,-0.0127597312,-0.0237359189418796,0.000768181846761923,-0.00693646644536992,0.037308429395555,0.0102831397064913
"HalfBath",-0.0502627285702502,0.180205605095921,NA,0.079581166873225,0.271950789318753,-0.116484172932875,0.296700272353335,0.238807192173839,NA,NA,NA,NA,NA,-0.0889291577461768,0.613430110316451,-0.0536351183812334,0.453582246125416,NA,NA,0.180297297652543,1,0.263637591356296,-0.0157932094001543,0.348590401833,0.207970140118378,NA,NA,NA,0.125135691312168,0.165245610075875,-0.0698729688444668,-0.0515980251233102,-0.000445586925827805,-0.0263447180969194,0.0468935092711704,0.0063087892882436,0.0135042135133202
"BedroomAbvGr",0.00103780882026174,0.00554149256117702,NA,0.181171408781833,0.0459005360112453,-0.0297154879257479,-0.0359234621363281,-0.00441346977885533,NA,NA,NA,NA,NA,0.0901881934959303,0.504457746048647,0.0319934933366389,0.513831259916068,NA,NA,0.349285149260845,0.263637591356296,1,0.285673884864592,0.664498074042984,0.06613286404444,NA,NA,NA,0.0169021765711466,0.0792306307653585,0.0577717972227617,-0.0850699498344307,-0.0283738643968926,-0.00708745398568148,-0.00539752841381142,0.0647270842203208,-0.00511324318468052
"KitchenAbvGr",-0.0173822957686008,0.238016317788885,NA,-0.0318302879715601,-0.134838634507665,-0.0866583443427233,-0.0986436188839398,-0.135939793151077,NA,NA,NA,NA,NA,0.0842553820556841,0.0792755445838641,-0.00834378496555747,0.137003449751256,NA,NA,0.210972386591608,-0.0157932094001543,0.285673884864592,1,0.338219322107437,-0.0916517135981532,NA,NA,NA,-0.0847793599995096,-0.0661722494489722,0.0188369603747963,-0.0181126307600871,-0.0614875950820734,-0.0116691369571084,-0.00518638750681984,0.0441586950345845,0.0386140528138349
"TotRmsAbvGrd",0.000716371347899013,0.0412941161443952,NA,0.289576039808208,0.352016336551166,-0.130290956269801,0.134838567659667,0.203619226894654,NA,NA,NA,NA,NA,0.374372661034103,0.548464401209977,0.0653864645370431,0.788012109862664,NA,NA,0.500353862660755,0.348590401833,0.664498074042984,0.338219322107437,1,0.294427463983668,NA,NA,NA,0.146831607832115,0.244570957769889,0.0279532450623559,-0.0599110308633761,0.00528981301754621,0.0550185125875797,0.0940631411081432,0.0506657104643455,-0.0316274794118197
"Fireplaces",-0.0359239145406871,-0.0643569922235949,NA,0.282210204049807,0.384998973611512,-0.0386432829296036,0.193597253199481,0.153964700573169,NA,NA,NA,NA,NA,0.404610811159893,0.143637153706712,0.00815633237332483,0.456944343930957,NA,NA,0.228680864594601,0.207970140118378,0.06613286404444,-0.0916517135981532,0.294427463983668,1,NA,NA,NA,0.254527525416215,0.149039504363787,0.025176399481217,0.0286955100869095,0.156342908422538,0.105926206673806,0.0148017465167872,0.0165983332834157,0.0100018647930897
"GarageYrBlt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GarageCars",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GarageArea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WoodDeckSF",0.0156640034165952,-0.0225387323624953,NA,0.158482918368061,0.270790126043878,0.0430579473043739,0.233889053024966,0.230723833360568,NA,NA,NA,NA,NA,0.219572929016122,0.0875549014419724,-0.00526183522275708,0.25541563585524,NA,NA,0.175053113416017,0.125135691312168,0.0169021765711466,-0.0847793599995096,0.146831607832115,0.254527525416215,NA,NA,NA,1,0.0194876417283009,-0.113035875761587,0.0366215532672012,-0.0306820120167102,0.123409226138105,0.108898168823635,0.0149951811089198,-0.0228180441522631
"OpenPorchSF",-0.00204489654817998,-0.0254205473699604,NA,0.164815305807081,0.288367182830553,-0.103782921156068,0.20803973675613,0.258049280821289,NA,NA,NA,NA,NA,0.263812553651889,0.163779854260998,-0.0201971236247044,0.356365645651026,NA,NA,0.260828961131591,0.165245610075875,0.0792306307653585,-0.0661722494489722,0.244570957769889,0.149039504363787,NA,NA,NA,0.0194876417283009,1,-0.0309181208616459,-0.0138653105467344,0.0222325353606392,0.0707953459207123,0.150403789586477,-0.000254974379584241,-0.0171224449827801
"EnclosedPorch",0.0209993149487232,-0.0290513760101903,NA,0.099850428230868,-0.161339298383643,0.0721777371820899,-0.36301180302632,-0.2435820403741,NA,NA,NA,NA,NA,-0.0660711061321944,0.0488457206066129,0.115253652645702,-0.00141299193559627,NA,NA,-0.12292998072209,-0.0698729688444668,0.0577717972227617,0.0188369603747963,0.0279532450623559,0.025176399481217,NA,NA,NA,-0.113035875761587,-0.0309181208616459,1,-0.027644806346198,-0.0485502855230153,0.14258911784811,0.00135341620601651,-0.0125426828710122,0.00761598564916888
"X3SsnPorch",-0.0258963606870276,-0.0297085365057213,NA,-0.00184585780938799,0.00280270266428089,0.0712845344819021,-0.0054419869184887,0.0258234343345634,NA,NA,NA,NA,NA,0.0286795182217402,-0.0478277915986668,-0.00714904564778315,-0.018560854255397,NA,NA,-0.0127597312,-0.0515980251233102,-0.0850699498344307,-0.0181126307600871,-0.0599110308633761,0.0286955100869095,NA,NA,NA,0.0366215532672012,-0.0138653105467344,-0.027644806346198,1,-0.0267850571550668,-0.00508327736560926,-0.00124202411627619,0.0224439540884416,0.0278180494020299
"ScreenPorch",0.0255664955704439,-0.0719782086767075,NA,0.0887115750236982,0.0223339824720454,0.0331460457273087,-0.0319843834967774,-0.0537607939734647,NA,NA,NA,NA,NA,0.107901798049262,-0.0182391813090754,-0.0139324110911153,0.0714168330410696,NA,NA,-0.0237359189418796,-0.000445586925827805,-0.0283738643968926,-0.0614875950820734,0.00528981301754621,0.156342908422538,NA,NA,NA,-0.0306820120167102,0.0222325353606392,-0.0485502855230153,-0.0267850571550668,1,-0.00489729294821387,-0.0125488826157089,0.0352120861070497,-0.0234392291161968
"PoolArea",0.0495352877490512,-0.0177899654943858,NA,0.140493798352387,-0.0123301205046091,-0.0371906199064407,-0.00106032541243494,-0.0348616278035887,NA,NA,NA,NA,NA,0.112558411463772,-0.00616289947601481,-0.00460580209918661,0.0865420366607972,NA,NA,0.000768181846761923,-0.0263447180969194,-0.00708745398568148,-0.0116691369571084,0.0550185125875797,0.105926206673806,NA,NA,NA,0.123409226138105,0.0707953459207123,0.14258911784811,-0.00508327736560926,-0.00489729294821387,1,-0.00527881520763008,-0.0557308386258341,-0.04518480125011
"MiscVal",-0.00574414386740325,-0.0458348484875311,NA,0.139071122032869,0.0337836229976285,0.00723629676073022,0.00732534881750955,0.00301124297223081,NA,NA,NA,NA,NA,0.181386872893262,-0.0223701193736096,-0.00742404715919649,0.128686852181025,NA,NA,-0.00693646644536992,0.0468935092711704,-0.00539752841381142,-0.00518638750681984,0.0940631411081432,0.0148017465167872,NA,NA,NA,0.108898168823635,0.150403789586477,0.00135341620601651,-0.00124202411627619,-0.0125488826157089,-0.00527881520763008,1,0.0193694393858434,0.0118293048720915
"MoSold",0.143358474203481,0.011365770982697,NA,0.00515194239478217,-0.00876372805287919,-0.00976711641874581,0.015598581009613,0.0117708165233386,NA,NA,NA,NA,NA,0.0480642412016053,-0.00941528339523518,0.0464725553402593,0.035472360963655,NA,NA,0.037308429395555,0.0063087892882436,0.0647270842203208,0.0441586950345845,0.0506657104643455,0.0165983332834157,NA,NA,NA,0.0149951811089198,-0.000254974379584241,-0.0125426828710122,0.0224439540884416,0.0352120861070497,-0.0557308386258341,0.0193694393858434,1,-0.163923833253637
"YrSold",-0.974884483248076,-0.00839233133352073,NA,-0.051144344943834,-0.0122905666282502,0.0156486017389437,-0.011005604697244,0.0297148948978011,NA,NA,NA,NA,NA,-0.0135655096379729,-0.0100975910831324,0.026864316474313,-0.017433837595255,NA,NA,0.0102831397064913,0.0135042135133202,-0.00511324318468052,0.0386140528138349,-0.0316274794118197,0.0100018647930897,NA,NA,NA,-0.0228180441522631,-0.0171224449827801,0.00761598564916888,0.0278180494020299,-0.0234392291161968,-0.04518480125011,0.0118293048720915,-0.163923833253637,1
